titulo,titular,uso,volumen_m3_anio,volumen_hm3_anio,volumen_punto_m3_anio,volumen_punto_hm3_anio,fecha_titulo,latitud,longitud,cve_acui,nom_acui,en_bbox_piloto,fuente
13DFE100158/26FMDA08,"HOTEL GENEVE, S.A. DE C.V.",INDUSTRIAL,12423.0,0.012423,6211.5,0.0062115,1996-09-19,19.42458333333333,-99.16405555555556,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100118/26EMDA08,"CENTRO ASTURIANO DE MÉXICO, A.C.",SERVICIOS,236520.0,0.23652,236520.0,0.23652,1995-12-06,19.40277777777777,-99.19583333333334,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100637/26EMDA08,"ASOCIACIÓN CRISTIANA DE JOVENES DE LA CIUDAD DE MÉXICO (YMCA), A.C.",SERVICIOS,23192.0,0.023192,23192.0,0.023192,1996-08-14,19.4375,-99.1802777777778,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100970/26FMDA10,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,INDUSTRIAL,67000.0,0.067,67000.0,0.067,2005-10-14,19.362222222222226,-99.25555555555556,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100101/26FMDA09,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,54086.0,0.054086,7726.571428571428,0.007726571428571428,1996-05-17,19.442777777777778,-99.18805555555556,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100101/26FMDA09,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,432432.0,0.432432,61776.0,0.061776,1996-05-17,19.44333333333333,-99.18722222222225,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100101/26FMDA09,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,1844640.0,1.84464,263520.0,0.26352,1996-05-17,19.44361111111111,-99.18805555555556,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100101/26FMDA09,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,466560.0,0.46656,66651.42857142857,0.06665142857142857,1996-05-17,19.441111111111116,-99.18972222222224,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100101/26FMDA09,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,544320.0,0.54432,77760.0,0.07776,1996-05-17,19.440277777777776,-99.18805555555556,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100101/26FMDA09,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,2194560.0,2.19456,313508.5714285714,0.3135085714285714,1996-05-17,19.44,-99.1863888888889,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100101/26FMDA09,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,2557440.0,2.55744,365348.5714285714,0.3653485714285714,1996-05-17,19.44238888888889,-99.18908333333334,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100609/26FMDA09,"BRIDGESTONE DE MEXICO, S. A. DE C. V.",INDUSTRIAL,17043.0,0.017043,17043.0,0.017043,1996-10-14,19.44308333333333,-99.18336111111113,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100762/26EMDA09,"PANTEON JARDIN DE MEXICO, S.A.",SERVICIOS,1071.0,0.001071,1071.0,0.001071,1999-07-26,19.35,-99.20833333333334,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100073/26FMGR06,"COMPAÑÍA INDUSTRIAL DE XALOSTOC, S.A. DE C.V.",INDUSTRIAL,200000.0,0.2,200000.0,0.2,1995-03-05,19.425,-99.19722222222222,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100779/26FMDA11,"BAYER DE MEXICO, S.A. DE C.V.",INDUSTRIAL,3000.0,0.003,3000.0,0.003,1999-11-03,19.439722222222223,-99.20055555555555,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100550/26EMDA10,SECRETARIA DE HACIENDA Y CREDITO PUBLICO,SERVICIOS,65167.0,0.065167,65167.0,0.065167,1997-07-15,19.408055555555556,-99.15944444444445,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE101165/26JMDA11,LUZ Y FUERZA DEL CENTRO,GENERACIÓN DE ENERGÍA,33600.0,0.0336,33600.0,0.0336,2011-10-31,19.437166666666663,-99.1703888888889,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100134/26FMDA11,COLGATE PALMOLIVE S.A. DE C.V.,INDUSTRIAL,274626.0,0.274626,137313.0,0.137313,1995-11-06,19.45,-99.20833333333334,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100134/26FMDA11,COLGATE PALMOLIVE S.A. DE C.V.,INDUSTRIAL,330000.0,0.33,165000.0,0.165,1995-11-06,19.45,-99.20861111111113,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE101181/26EMDA12,"INMUEBLES GENERAL, S.A DE C.V.",SERVICIOS,287000.0,0.287,287000.0,0.287,2012-03-22,19.442222222222224,-99.20472222222224,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE101084/26FMDA13,"BAYER DE MÉXICO, S.A. DE C.V.",INDUSTRIAL,40000.0,0.04,40000.0,0.04,2013-04-30,19.44083333333333,-99.20166666666668,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100693/26FMGR01,"LEVADURA AZTECA, S. A. DE C. V.",INDUSTRIAL,203800.0,0.2038,67933.33333333333,0.06793333333333333,1997-06-14,19.440277777777776,-99.20138888888889,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100693/26FMGR01,"LEVADURA AZTECA, S. A. DE C. V.",INDUSTRIAL,213800.0,0.2138,71266.66666666667,0.07126666666666667,1997-06-14,19.440277777777776,-99.20111111111112,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100693/26FMGR01,"LEVADURA AZTECA, S. A. DE C. V.",INDUSTRIAL,164800.0,0.1648,54933.333333333336,0.054933333333333334,1997-06-14,19.440555555555555,-99.20166666666668,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100638/26EPDA14,"ASOCIACION FRANCO MEXICANA SUIZA Y BELGA DE BENEFICIENCIA, I. A. P./PANTEON FRANCES",SERVICIOS,411.5,0.0004115,411.5,0.0004115,1998-01-20,19.40694444444444,-99.15305555555555,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100591/26EMOC07,"INMUEBLES E INVERSIONES, S. A.",SERVICIOS,411.0,0.000411,411.0,0.000411,1997-06-03,19.34722222222222,-99.20138888888889,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
5DFE100003/26FMGR94,MANUEL MUÑOS MUÑOS /BAÑOS RIVIERA,INDUSTRIAL,97200.0,0.0972,97200.0,0.0972,1994-06-23,19.37444444444445,-99.18722222222225,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
5DFE100636/26EMGR96,MANUEL SIEIRO CASTRO/BAÑOS CHOPO,SERVICIOS,1126.0,0.001126,1126.0,0.001126,1997-02-07,19.448611111111116,-99.1527777777778,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
5DFE100133/26FMGR95,"EL DUERO, S.A. DE C.V.",INDUSTRIAL,12528.0,0.012528,12528.0,0.012528,1995-09-07,19.4375,-99.20555555555556,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100309/26HMGC18,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,630720.0,0.63072,3754.285714285714,0.0037542857142857143,1996-06-28,19.3025,-99.17194444444443,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100309/26HMGC18,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,PÚBLICO URBANO,1040688.0,1.040688,6194.571428571428,0.006194571428571429,1996-06-28,19.296472222222224,-99.19522222222224,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
