titulo,titular,uso,volumen_m3_anio,volumen_hm3_anio,fecha_titulo,colonia,alcaldia,en_poniente
13MEX106023/26AMGR00,"POLICARPO ERNESTO, DONACIANO, ROSA MARIA, IRMA LETICIA, PERLA HILARIA, BLANCA LIVI Y JULIAN PEREZ CERON, DIONISIO Y MA. DEL ROCIO PEREZ HERNANDEZ",AGRÍCOLA,12000.0,0.012,2000-02-21,Ampl Emiliano Zapata,Iztapalapa,False
13MEX108090/26AMDA09,JOSE ANTONIO ZECHINELLI NANI Y COPROPIETARIOS,AGRÍCOLA,4800.0,0.0048,2009-02-13,Tepetitla,Tlalpan,False
13MEX109161,"DESARROLLO DE INGENIERIA CIVIL, S.A.",SERVICIOS,77280.0,0.07728,2018-07-11,La Navidad,Cuajimalpa De Morelos,True
13MEX159665/26FMGC17,"TEXLAMEX, S. A. DE C.V.",INDUSTRIAL,126000.0,0.126,2018-02-19,Ampl San Pedro Xalpa,Azcapotzalco,False
13MEX159815/26FMDA18,"SIGMA ALIMENTOS IMPORTACIONES, S.A. DE C.V.",INDUSTRIAL,390717.4,0.39071740000000005,2018-07-10,Juan Gonzalez Romero,Gustavo A. Madero,False
13MEX160075/26EMDA18,"CIBANCO, S.A.,I.B.M., FIDUCIARIO EN EL FIDEICOMISO CIB/2032",SERVICIOS,232000.0,0.232,2018-11-28,Juarez,Cuauhtemoc,False
13MEX160076/26EMDA18,"INMOBILIARIA GOCOS, S.A. DE C.V.",SERVICIOS,160000.0,0.16,2018-11-28,Jardines Del Pedregal,Alvaro Obregon,True
13MEX160082/26EMDA18,"INMOBILIARIA JERONIMO, S.A. DE C.V.",SERVICIOS,40000.0,0.04,2018-11-28,Pedregal De San Jeronimo,La Magdalena Contreras,True
5DFE100001/26FMGR94,"SUPER BAÑOS CALETA, S.A. DE C.V.",INDUSTRIAL,4060.0,0.00406,1994-05-23,Obrera,Cuauhtemoc,False
5DFE100003/26FMGR94,MANUEL MUÑOS MUÑOS /BAÑOS RIVIERA,INDUSTRIAL,97200.0,0.0972,1994-06-23,Mixcoac,Benito Juarez,False
5DFE100066/26FMGR94,"SYNTEX, S.A. DE C.V.",INDUSTRIAL,13530.0,0.01353,1994-11-24,Lomas De Santa Fe,Alvaro Obregon,True
5DFE100121/26FMGR95,"INMOBILIARIA SAN ANTOLIN, S.A. DE C.V.",INDUSTRIAL,964656.0,0.964656,1995-09-07,Santa Cruz De Las Salinas,Azcapotzalco,False
5DFE100123/26FMGR95,"EMPAQUES DE CARTON UNITED, S.A. DE C.V.",INDUSTRIAL,16200.0,0.0162,1995-09-07,Popular Rastro,Venustiano Carranza,False
5DFE100131/26FMGR95,"PRODUCTOS PUENTE, S.A. DE C.V.",INDUSTRIAL,43200.0,0.0432,1997-06-03,Moctezuma 2Da Secc,Venustiano Carranza,False
5DFE100133/26FMGR95,"EL DUERO, S.A. DE C.V.",INDUSTRIAL,12528.0,0.012528,1995-09-07,Los Morales Secc Palmas,Miguel Hidalgo,True
5DFE100140/26FMGR95,"TEXTIL LANERA, S.A. DE C.V.",INDUSTRIAL,51090.0,0.05109,1995-11-28,Industrial Vallejo,Azcapotzalco,False
5DFE100146/26FMGR95,"PIRAMIDE, S.A. DE C.V.",INDUSTRIAL,22457.0,0.022457,1995-08-15,Manzanos,Miguel Hidalgo,True
5DFE100531/26FMGR96,"PROPIMEX, S. A. DE C. V.",INDUSTRIAL,4495.0,0.004495,1996-11-05,Santa Maria La Ribera,Cuauhtemoc,False
5DFE100578/26FMGR96,"INMOBILIARIA INDUSTRIMEX, S. A. DE C.V.",INDUSTRIAL,9102.0,0.009102,1996-04-23,Agricola Oriental,Iztacalco,False
5DFE100632/26CMGR96,DR. GUSTAVO BAZ DIAZ LOMBARDO,DOMÉSTICO,290.0,0.00029,1996-08-07,San Jeronimo Lidice,La Magdalena Contreras,True
5DFE100636/26EMGR96,MANUEL SIEIRO CASTRO/BAÑOS CHOPO,SERVICIOS,1126.0,0.001126,1997-02-07,Santa Maria La Ribera,Cuauhtemoc,False
5DFE100644/26FMGR96,"INMOBILIARIA MOTKE, S. A. DE C. V.",INDUSTRIAL,21600.0,0.0216,1996-11-02,Veronica Anzures,Miguel Hidalgo,True
5DFE100647/26FMGR96,"PISOS ALFER, S.A. DE C.V. /GUILLERMO FERNANDEZ DE LA PARRA",INDUSTRIAL,240.0,0.00024,1997-06-03,Industrial Vallejo,Azcapotzalco,False
