num_pozo,nom_pozo,cve_acui,nom_acuif,nom_edo,latitud,longitud,anio_primero,anio_ultimo,pne_primero_m,pne_ultimo_m,delta_pne_m,tasa_abatimiento_m_anio,n_obs,nivel_estres,id_colonia,colonia,alcaldia,en_poniente,label,dist_colonia_m,en_bbox_piloto
5148,.RS-7B,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.284543,-99.128458,1997.0,2006.0,56.04,65.46,9.419999999999995,1.046666666666666,5,ALTO,12803.0,San Bartolo El Chico,Tlalpan,False,San Bartolo El Chico — Tlalpan,0.0,False
5149,.RS-11,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.285333,-99.147731,1997.0,2007.0,66.56,64.48,-2.0799999999999983,-0.20799999999999982,5,RECUPERACION_O_ESTABLE,12876.0,Arenal Tepepan,Tlalpan,False,Arenal Tepepan — Tlalpan,0.5898634462075257,False
5150,.RS-13,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.29469,-99.15504,1998.0,2011.0,61.32,66.0,4.68,0.36,9,MEDIO,12710.0,Belisario Dominguez Seccion Xvi,Tlalpan,False,Belisario Dominguez Seccion Xvi — Tlalpan,0.0,False
5151,.RS-17,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.29998,-99.170779,1998.0,2005.0,72.72,72.56,-0.1599999999999966,-0.02285714285714237,4,RECUPERACION_O_ESTABLE,12697.0,Isidro Fabela,Tlalpan,False,Isidro Fabela — Tlalpan,0.0,False
5152,.RS-20B,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.299908,-99.189358,1998.0,2007.0,79.71,62.7,-17.00999999999999,-1.889999999999999,5,RECUPERACION_O_ESTABLE,12693.0,Parques Del Pedregal,Tlalpan,False,Parques Del Pedregal — Tlalpan,0.0,False
5153,.RS-25,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.3272,-99.16182,1997.0,2007.0,64.16,71.25,7.090000000000003,0.7090000000000003,8,MEDIO,11629.0,Pedregal De Santo Domingo,Coyoacan,False,Pedregal De Santo Domingo — Coyoacan,0.0,False
5154,.RS-31B,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.298234,-99.141803,1997.0,2007.0,63.61,70.37,6.760000000000005,0.6760000000000005,6,MEDIO,12796.0,Villa Lazaro Cardenas,Tlalpan,False,Villa Lazaro Cardenas — Tlalpan,0.0,False
5155,.RM-1B,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.302163,-98.968265,1997.0,2016.0,41.22,62.4,21.18,1.1147368421052632,15,ALTO,12598.0,San Miguel Yecahuizotl,Tlahuac,False,San Miguel Yecahuizotl — Tlahuac,0.0,False
5156,.RM-11,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.264713,-98.973982,1996.0,2012.0,33.27,51.07,17.799999999999997,1.1124999999999998,14,ALTO,12585.0,La Habana,Tlahuac,False,La Habana — Tlahuac,445.16900173329503,False
5157,.HER-1,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.420609,-99.24304,1997.0,2019.0,92.26,83.33,-8.930000000000007,-0.4059090909090912,16,RECUPERACION_O_ESTABLE,12530.0,Bosques De Las Lomas,Miguel Hidalgo,True,Bosques De Las Lomas — Miguel Hidalgo,826.7273558078052,True
5158,RSC-1,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.296345,-98.987503,2008.0,2009.0,62.25,66.13,3.8799999999999955,3.8799999999999955,2,ALTO,12646.0,San Francisco Tlaltenco,Tlahuac,False,San Francisco Tlaltenco — Tlahuac,0.0,False
5159,RSC-2,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.2994,-98.984447,2008.0,2019.0,65.84,101.02,35.17999999999999,3.1981818181818173,4,ALTO,12646.0,San Francisco Tlaltenco,Tlahuac,False,San Francisco Tlaltenco — Tlahuac,0.0,False
5160,RSC-4,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.296849,-98.992298,2008.0,2025.0,69.64,79.0,9.36,0.5505882352941176,8,MEDIO,12646.0,San Francisco Tlaltenco,Tlahuac,False,San Francisco Tlaltenco — Tlahuac,0.0,False
5161,RSC-5,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.295234,-98.995279,2008.0,2019.0,72.27,80.25,7.980000000000004,0.7254545454545458,4,MEDIO,12646.0,San Francisco Tlaltenco,Tlahuac,False,San Francisco Tlaltenco — Tlahuac,0.0,False
5162,13DFE100309/26HMGC18,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.384056,-99.031222,,,,,,,1,SIN_SERIE,12174.0,San Lorenzo Xicotencatl,Iztapalapa,False,San Lorenzo Xicotencatl — Iztapalapa,0.0,False
5163,13DFE100309/26HMGC18,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.340972,-99.239694,,,,,,,1,SIN_SERIE,11315.0,Ocotillos,Alvaro Obregon,True,Ocotillos — Alvaro Obregon,0.0,True
5164,13DFE100309/26HMGC18,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.420556,-99.075278,,,,,,,1,SIN_SERIE,12970.0,Aeropuerto Inter B Juarez,Venustiano Carranza,False,Aeropuerto Inter B Juarez — Venustiano Carranza,0.0,False
5165,Pozo R. 25,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.200078,-99.012065,,,,,,,1,SIN_SERIE,12544.0,Barrio Santa Cruz,Milpa Alta,False,Barrio Santa Cruz — Milpa Alta,0.0,False
5166,San Pedro Actopan,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.211892,-99.048875,,,,,,,1,SIN_SERIE,12560.0,Barrio Tula,Milpa Alta,False,Barrio Tula — Milpa Alta,0.0,False
